name,height,weight,reach,stance,age,dob,wins,losses,draws,height,weight,reach,str_landed_per_min,str_acc,str_absorb_per_min,str_def,td_avg,td_acc,td_def,sub_avg,win_percentage
David Lee,1.78,155.0,1.78,Orthodox,34.93,1972-05-17,9,7,0,1.78,155.0,1.78,2.86,0.64,7.54,0.69,0.0,0.0,0.5,0.0,0.56
David Levicki,1.96,275.0,1.96,0,27.8,1966-05-25,1,3,0,1.96,275.0,1.96,7.77,0.93,6.06,0.86,0.0,0.0,1.0,0.0,0.25
David Loiseau,1.83,185.0,1.93,Orthodox,30.49,1979-12-17,20,10,0,1.83,185.0,1.93,1.32,0.44,8.93,0.69,0.41,1.0,0.66,0.0,0.67
David Michaud,1.75,155.0,1.83,Orthodox,26.45,1988-11-10,8,2,0,1.75,155.0,1.83,5.15,0.52,6.69,0.54,2.53,0.58,0.23,0.72,0.8
David Mitchell,1.83,170.0,1.93,Orthodox,33.96,1979-10-24,12,4,0,1.83,170.0,1.93,5.21,0.57,3.46,0.55,0.66,0.5,0.71,1.99,0.75
David Roberts,1.85,170.0,1.85,Orthodox,23.47,1975-11-15,5,8,0,1.85,170.0,1.85,0.0,0.0,6.52,0.6,0.0,0.0,0.5,0.0,0.38
David Terrell,1.85,185.0,1.85,Southpaw,28.26,1978-01-09,6,2,0,1.85,185.0,1.85,3.7,0.7,8.14,0.78,5.55,0.5,0.0,5.55,0.75
David Teymur,1.75,155.0,1.85,Southpaw,29.76,1989-05-01,8,2,0,1.75,155.0,1.85,5.14,0.44,4.13,0.48,0.78,0.27,0.23,0.0,0.8
David Velasquez,1.65,145.0,1.65,Orthodox,19.76,1980-06-05,10,9,0,1.65,145.0,1.65,5.73,0.69,8.98,0.56,0.0,0.0,1.0,0.0,0.53
David Zawada,1.83,170.0,1.9,Orthodox,29.27,1990-08-01,17,5,0,1.83,170.0,1.9,5.07,0.51,5.79,0.5,0.94,0.22,0.43,3.29,0.77
Dean Lister,1.85,185.0,1.9,Orthodox,32.87,1976-02-13,11,7,0,1.85,185.0,1.9,2.33,0.47,3.69,0.54,1.68,0.14,0.67,0.96,0.61
Deiveson Figueiredo,1.65,125.0,1.73,Orthodox,32.2,1987-12-18,18,1,0,1.65,125.0,1.73,3.97,0.6,4.57,0.6,1.56,0.45,0.4,0.93,0.95
Delson Heleno,1.8,185.0,1.8,Orthodox,34.6,1977-11-16,23,7,0,1.8,185.0,1.8,0.92,0.8,9.43,0.87,0.0,0.0,0.0,0.0,0.77
Demetrious Johnson,1.6,125.0,1.68,Orthodox,31.98,1986-08-13,27,3,1,1.6,125.0,1.68,6.89,0.69,2.6,0.41,2.31,0.56,0.26,0.5,0.87
Demian Maia,1.85,170.0,1.83,Southpaw,42.35,1977-11-06,28,10,0,1.85,170.0,1.83,3.43,0.61,4.55,0.55,1.78,0.23,0.33,0.76,0.74
Denis Kang,1.8,185.0,1.96,Orthodox,32.16,1977-09-17,34,15,2,1.8,185.0,1.96,5.41,0.61,4.0,0.53,3.53,0.67,0.75,0.88,0.67
Denis Stojnic,1.83,245.0,1.83,Orthodox,29.36,1980-02-02,9,3,0,1.83,245.0,1.83,2.9,0.35,2.96,0.54,0.0,0.0,0.0,0.99,0.75
Dennis Bermudez,1.68,155.0,1.68,Orthodox,32.1,1986-12-13,18,9,0,1.68,155.0,1.68,6.35,0.54,5.46,0.51,3.12,0.3,0.1,0.48,0.67
Dennis Hallman,1.75,155.0,1.83,Orthodox,36.02,1975-12-02,67,14,2,1.75,155.0,1.83,5.19,0.72,4.39,0.74,2.68,0.5,0.6,1.53,0.81
Dennis Siver,1.68,145.0,1.78,Orthodox,38.45,1979-01-13,23,11,0,1.68,145.0,1.78,8.12,0.53,5.16,0.48,1.12,0.56,0.42,0.45,0.68
Dequan Townsend,1.91,205.0,2.01,Orthodox,33.77,1986-05-11,21,11,0,1.91,205.0,2.01,3.05,0.57,5.14,0.7,0.0,0.0,0.75,0.0,0.66
Derek Brunson,1.85,185.0,1.96,Southpaw,35.62,1984-01-04,20,7,0,1.85,185.0,1.96,4.71,0.5,4.35,0.45,2.19,0.23,0.0,0.0,0.74
Derek Downey,1.85,185.0,1.85,Orthodox,28.78,1980-04-27,11,4,0,1.85,185.0,1.85,0.32,1.0,9.92,0.93,2.4,0.17,1.0,0.0,0.73
Deron Winn,1.68,185.0,1.78,Orthodox,30.73,1989-06-13,6,2,0,1.68,185.0,1.78,6.87,0.5,6.16,0.51,2.49,0.35,0.44,0.0,0.75
Derrick Krantz,1.78,170.0,1.83,Orthodox,31.63,1988-01-13,24,12,0,1.78,170.0,1.83,3.23,0.48,4.19,0.51,3.18,0.5,0.0,0.79,0.67
Derrick Lewis,1.91,260.0,2.01,Orthodox,35.0,1985-02-07,23,7,0,1.91,260.0,2.01,1.88,0.47,2.85,0.59,0.25,0.17,0.33,0.0,0.77
Derrick Noble,1.75,170.0,1.75,Southpaw,27.67,1978-08-14,26,15,1,1.75,170.0,1.75,8.97,0.49,6.55,0.53,0.0,0.0,0.0,0.0,0.62
Desmond Green,1.78,155.0,1.85,Southpaw,29.6,1989-10-11,23,8,0,1.78,155.0,1.85,4.2,0.49,3.56,0.41,1.91,0.5,0.44,0.0,0.74
Devin Clark,1.83,205.0,1.9,Orthodox,29.85,1990-04-12,11,4,0,1.83,205.0,1.9,7.58,0.74,5.69,0.67,3.74,0.45,0.28,0.0,0.73
Devin Powell,1.83,155.0,1.85,Orthodox,30.71,1988-03-01,9,4,0,1.83,155.0,1.85,4.72,0.52,6.21,0.61,0.0,0.0,0.64,0.64,0.69
Devonte Smith,1.75,155.0,1.93,Orthodox,26.05,1993-07-30,10,2,0,1.75,155.0,1.93,5.28,0.53,2.92,0.39,0.0,0.0,0.0,0.0,0.83
Dhiego Lima,1.88,170.0,1.9,Orthodox,30.68,1989-01-31,17,7,0,1.88,170.0,1.9,3.0,0.4,3.46,0.43,0.62,0.22,0.38,0.0,0.71
Diana Belbita,1.7,125.0,1.73,Orthodox,23.31,1996-06-26,13,5,0,1.7,125.0,1.73,6.93,0.4,8.4,0.5,1.0,1.0,0.36,0.0,0.72
Diego Brandao,1.7,145.0,1.73,Orthodox,28.6,1987-05-27,24,11,0,1.7,145.0,1.73,4.87,0.52,5.26,0.53,2.88,0.5,0.38,0.58,0.69
Diego Ferreira,1.75,155.0,1.88,Orthodox,35.0,1985-01-18,17,2,0,1.75,155.0,1.88,7.49,0.39,3.68,0.37,1.66,0.38,0.27,1.0,0.89
Diego Nunes,1.68,145.0,1.7,Orthodox,30.14,1982-11-30,18,4,0,1.68,145.0,1.7,2.83,0.42,6.12,0.61,1.0,0.62,0.36,0.0,0.82
Diego Rivas,1.73,145.0,1.75,Orthodox,26.52,1991-11-11,7,2,0,1.73,145.0,1.75,2.14,0.5,3.75,0.59,1.79,0.6,0.36,0.89,0.78
Diego Sanchez,1.78,170.0,1.83,Southpaw,38.13,1981-12-31,31,12,0,1.78,170.0,1.83,3.71,0.62,5.19,0.62,2.14,0.42,0.83,0.0,0.72
Diego Saraiva,1.68,155.0,1.68,Orthodox,25.42,1982-04-23,21,16,1,1.68,155.0,1.68,4.62,0.57,6.93,0.52,1.33,0.4,1.0,0.67,0.55
Dieusel Berto,1.75,200.0,1.75,0,9.39,1987-02-19,0,3,0,1.75,200.0,1.75,1.51,0.82,8.07,0.75,0.0,0.0,0.0,0.0,0.0
Dileno Lopes,1.65,135.0,1.65,0,31.78,1984-09-26,19,3,0,1.65,135.0,1.65,3.6,0.44,5.4,0.58,2.5,0.31,0.15,1.5,0.86
Din Thomas,1.75,155.0,1.75,Orthodox,31.51,1976-09-28,25,8,0,1.75,155.0,1.75,3.32,0.46,5.0,0.5,0.79,0.38,0.18,0.79,0.76
Dmitri Stepanov,1.91,217.0,1.91,Orthodox,8.67,1988-09-29,0,1,0,1.91,217.0,1.91,0.67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dmitrii Smoliakov,1.88,253.0,1.88,Switch,36.73,1982-08-05,9,3,0,1.88,253.0,1.88,6.83,0.71,8.78,0.58,0.0,0.0,0.12,0.0,0.75
Dmitry Sosnovskiy,1.91,240.0,1.96,Orthodox,28.7,1989-07-06,11,0,0,1.91,240.0,1.96,5.59,0.75,7.7,0.8,3.16,0.67,0.0,3.16,1.0
Dokonjonosuke Mishima,1.7,155.0,1.7,Southpaw,34.96,1972-04-19,20,7,2,1.7,155.0,1.7,2.12,0.48,5.97,0.72,1.87,0.18,1.0,1.87,0.69
Domingo Pilarte,1.83,135.0,1.85,Southpaw,30.09,1990-01-05,8,2,0,1.83,135.0,1.85,4.48,0.75,6.33,0.68,1.92,0.4,0.25,0.96,0.8
Dominic Waters,1.85,170.0,2.01,Orthodox,27.08,1989-04-11,9,5,0,1.85,170.0,2.01,2.15,0.72,8.03,0.89,3.3,0.33,0.6,0.0,0.64
Dominick Cruz,1.73,135.0,1.73,Orthodox,31.81,1985-03-09,22,2,0,1.73,135.0,1.73,4.83,0.43,4.19,0.37,2.82,0.41,0.3,0.15,0.92
Dominick Reyes,1.93,205.0,1.96,Southpaw,30.12,1989-12-26,12,1,0,1.93,205.0,1.96,4.98,0.49,3.57,0.54,0.0,0.0,0.16,0.0,0.92
Dominique Steele,1.78,170.0,1.88,Orthodox,29.37,1988-01-27,14,9,0,1.78,170.0,1.88,4.45,0.62,4.06,0.57,2.94,0.37,0.33,0.0,0.61
Don Frye,1.85,219.0,1.85,Orthodox,31.04,1965-11-23,20,9,1,1.85,219.0,1.85,6.78,0.85,4.12,0.69,0.43,0.33,0.67,1.29,0.67
Don Madge,1.83,155.0,1.83,Southpaw,28.82,1990-11-12,9,3,1,1.83,155.0,1.83,5.64,0.7,3.76,0.68,2.22,0.25,0.2,0.74,0.69
Don'Tale Mayes,1.98,260.0,2.06,Orthodox,27.78,1992-01-16,7,3,0,1.98,260.0,2.06,2.71,0.3,2.71,0.3,0.0,0.0,0.0,0.0,0.7
Donald Cerrone,1.85,155.0,1.85,Orthodox,36.81,1983-03-29,36,14,0,1.85,155.0,1.85,6.28,0.4,7.5,0.46,0.62,1.0,1.0,0.0,0.72
Dong Hyun Kim,1.88,170.0,1.93,Southpaw,35.58,1981-11-17,22,4,1,1.88,170.0,1.93,8.04,0.72,5.54,0.68,2.26,0.32,0.36,0.32,0.81
Dong Hyun Ma,1.8,155.0,1.78,Orthodox,31.28,1988-09-09,16,11,3,1.8,155.0,1.78,2.71,0.4,4.1,0.47,0.33,0.33,0.67,0.0,0.53
Dongi Yang,1.78,185.0,1.8,Southpaw,30.97,1984-12-07,13,3,0,1.78,185.0,1.8,5.75,0.59,3.29,0.47,1.7,0.41,0.5,0.49,0.81
Donnie Chappell,1.8,178.0,1.8,Southpaw,8.42,1989-02-24,0,1,0,1.8,178.0,1.8,3.29,0.62,7.24,0.73,0.0,0.0,1.0,0.0,0.0
Donny Walker,1.75,135.0,1.75,0,31.7,1980-01-04,15,8,0,1.75,135.0,1.75,4.87,0.6,6.9,0.65,0.0,0.0,0.43,1.7,0.65
Dooho Choi,1.78,145.0,1.78,Orthodox,28.7,1991-04-10,14,4,0,1.78,145.0,1.78,6.0,0.53,5.53,0.45,0.44,0.2,0.17,0.0,0.78
Doug Evans,1.75,155.0,1.75,Orthodox,27.22,1980-10-10,13,9,0,1.75,155.0,1.75,3.47,0.54,5.8,0.67,1.0,1.0,0.41,1.0,0.59
Douglas Silva de Andrade,1.7,145.0,1.73,Orthodox,34.4,1985-06-22,26,3,0,1.7,145.0,1.73,5.33,0.44,7.47,0.53,0.97,0.57,0.39,0.0,0.9
Drakkar Klose,1.75,155.0,1.78,Orthodox,32.0,1988-03-09,11,2,1,1.75,155.0,1.78,5.8,0.6,5.7,0.56,1.14,0.21,0.21,0.0,0.79
Drew Dober,1.73,155.0,1.78,Southpaw,31.25,1988-10-19,22,9,0,1.73,155.0,1.78,8.36,0.53,5.65,0.54,0.71,0.25,0.6,0.0,0.71
Drew Fickett,1.78,155.0,1.78,Orthodox,27.31,1979-12-14,41,16,0,1.78,155.0,1.78,5.27,0.56,5.92,0.62,1.05,0.31,0.76,1.32,0.72
Drew McFedries,1.83,185.0,1.83,Southpaw,31.15,1978-07-27,10,6,0,1.83,185.0,1.83,3.85,0.51,5.46,0.49,0.0,0.0,0.5,1.34,0.62
Duane Ludwig,1.78,170.0,1.78,Orthodox,34.16,1978-08-04,29,14,0,1.78,170.0,1.78,7.18,0.42,6.02,0.44,0.38,0.17,0.4,0.0,0.67
Duda Santana,1.7,145.0,1.85,Orthodox,23.39,1996-01-10,3,1,0,1.7,145.0,1.85,6.88,0.43,6.88,0.43,6.45,0.6,0.6,0.0,0.75
Dustin Hazelett,1.85,170.0,1.93,Orthodox,24.62,1986-04-29,12,7,0,1.85,170.0,1.93,2.22,0.41,9.45,0.66,0.0,0.0,1.0,4.87,0.63
Dustin Jacoby,1.93,185.0,1.98,Orthodox,23.82,1988-04-04,6,3,0,1.93,185.0,1.98,2.53,0.31,2.53,0.31,0.0,0.0,0.0,0.0,0.67
Dustin Kimura,1.7,135.0,1.8,Orthodox,25.56,1989-05-21,12,3,0,1.7,135.0,1.8,1.79,0.26,4.43,0.48,0.93,0.38,0.57,2.18,0.8
Dustin Ortiz,1.65,125.0,1.65,Orthodox,30.07,1988-12-25,19,8,0,1.65,125.0,1.65,5.37,0.56,3.89,0.53,4.86,0.47,0.53,0.0,0.7
Dustin Pague,1.75,135.0,1.88,Orthodox,26.21,1987-08-05,11,10,0,1.75,135.0,1.88,2.8,0.64,4.6,0.66,1.05,0.44,0.33,2.62,0.52
Dustin Poirier,1.75,155.0,1.83,Southpaw,30.63,1989-01-19,25,6,0,1.75,155.0,1.83,7.26,0.51,6.55,0.5,1.22,0.32,0.71,0.61,0.81
Dwayne Cason,1.78,212.0,1.78,Orthodox,17.9,1979-11-22,1,1,0,1.78,212.0,1.78,5.43,0.69,4.35,0.77,3.26,1.0,1.0,0.0,0.5
Dwight Grant,1.85,170.0,1.93,Switch,34.58,1984-09-14,10,2,0,1.85,170.0,1.93,2.69,0.35,2.37,0.32,0.43,1.0,0.17,0.0,0.83
Dylan Andrews,1.85,185.0,1.85,Switch,35.48,1979-11-15,18,8,0,1.85,185.0,1.85,2.46,0.52,2.55,0.55,3.12,0.5,0.55,0.45,0.69
Ebenezer Fontes Braga,1.83,199.0,1.83,Orthodox,29.51,1969-04-14,13,7,2,1.83,199.0,1.83,4.93,0.65,3.19,0.85,4.35,1.0,0.0,4.35,0.59
Ed Herman,1.85,205.0,1.96,Orthodox,39.1,1980-10-02,26,14,0,1.85,205.0,1.96,6.79,0.52,5.98,0.48,0.33,0.17,0.43,0.0,0.65
Eddie Alvarez,1.75,155.0,1.75,Orthodox,34.54,1984-01-11,29,6,0,1.75,155.0,1.75,6.87,0.42,5.16,0.42,1.02,0.2,0.08,0.34,0.83
Eddie Gordon,1.83,185.0,1.93,Orthodox,31.93,1983-07-22,8,4,0,1.83,185.0,1.93,4.21,0.51,3.23,0.44,1.99,0.83,0.67,0.0,0.67
Eddie Mendez,1.78,185.0,1.93,0,29.39,1984-01-16,7,2,1,1.78,185.0,1.93,2.15,0.38,2.15,0.38,0.0,0.0,0.0,0.0,0.7
Eddie Ruiz,1.7,155.0,1.7,Orthodox,35.99,1967-06-10,1,1,0,1.7,155.0,1.7,2.0,0.7,3.8,0.72,2.0,0.12,0.0,0.0,0.5
Eddie Sanchez,1.88,230.0,1.88,Orthodox,26.1,1982-11-04,13,5,0,1.88,230.0,1.88,7.94,0.62,6.45,0.67,1.26,0.27,0.45,0.0,0.72
Eddie Wineland,1.7,135.0,1.75,Orthodox,34.95,1984-06-26,24,13,1,1.7,135.0,1.75,3.73,0.31,4.07,0.37,0.0,0.0,0.17,0.0,0.63
Eddie Yagin,1.7,145.0,1.7,Orthodox,33.08,1979-03-23,16,5,1,1.7,145.0,1.7,4.0,0.35,9.33,0.67,0.0,0.0,0.38,1.0,0.73
Edgar Garcia,1.78,170.0,1.8,Orthodox,31.86,1984-02-22,14,5,0,1.78,170.0,1.8,3.86,0.51,8.55,0.51,4.14,0.75,0.67,1.38,0.74
Edilberto de Oliveira,1.83,170.0,1.83,Orthodox,24.82,1982-11-22,20,8,2,1.83,170.0,1.83,4.12,0.32,6.95,0.39,0.0,0.0,0.0,0.0,0.67
Edmen Shahbazyan,1.88,185.0,1.88,Orthodox,21.95,1997-11-20,11,0,0,1.88,185.0,1.88,9.35,0.48,6.31,0.41,3.5,1.0,0.0,3.5,1.0
Ednaldo Oliveira,1.96,205.0,2.01,Orthodox,29.45,1984-02-19,13,2,1,1.96,205.0,2.01,1.63,0.31,3.97,0.65,0.0,0.0,0.57,0.0,0.81
Edson Barboza,1.8,155.0,1.9,Orthodox,33.63,1986-01-21,20,8,0,1.8,155.0,1.9,4.56,0.52,9.1,0.59,0.22,0.2,0.32,0.0,0.71
Eduardo Garagorri,1.75,145.0,1.78,Orthodox,30.47,1989-05-28,13,1,0,1.75,145.0,1.78,3.96,0.55,3.75,0.53,0.79,1.0,0.46,0.0,0.93
Edward Faaloloto,1.78,155.0,1.78,0,27.31,1984-07-15,2,3,0,1.78,155.0,1.78,4.22,0.42,6.83,0.42,0.0,0.0,1.0,0.0,0.4
Edwin DeWees,1.85,185.0,1.85,Orthodox,23.16,1982-08-07,37,15,0,1.85,185.0,1.85,3.71,0.87,8.13,0.84,4.28,1.0,1.0,6.42,0.71
Edwin Figueroa,1.7,135.0,1.75,Orthodox,29.3,1984-07-31,9,4,0,1.7,135.0,1.75,3.59,0.46,4.89,0.58,0.25,1.0,0.55,0.75,0.69
Efrain Escudero,1.75,155.0,1.78,Orthodox,30.27,1986-01-15,25,11,0,1.75,155.0,1.78,6.96,0.67,4.02,0.47,1.23,0.31,0.38,0.25,0.69
Eiji Mitsuoka,1.7,145.0,1.7,Southpaw,36.61,1976-01-01,18,9,2,1.7,145.0,1.7,3.6,0.5,13.87,0.69,1.35,0.17,1.0,1.35,0.62
Eldo Xavier Dias,1.8,180.0,1.8,0,30.42,1964-07-16,0,1,0,1.8,180.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elias Garcia,1.65,125.0,1.7,Southpaw,26.22,1992-09-13,6,2,0,1.65,125.0,1.7,2.77,0.4,8.32,0.6,0.68,0.14,0.67,1.36,0.75
Elias Silverio,1.8,155.0,1.85,Orthodox,28.92,1986-09-22,11,2,0,1.8,155.0,1.85,5.9,0.58,3.94,0.55,1.62,0.38,0.14,0.2,0.85
Elias Theodorou,1.85,185.0,1.9,Orthodox,30.92,1988-05-31,17,3,0,1.85,185.0,1.9,7.03,0.51,5.77,0.5,0.2,0.12,0.24,0.0,0.85
Eliot Marshall,1.88,205.0,1.96,Orthodox,31.31,1980-07-07,10,4,0,1.88,205.0,1.96,3.18,0.38,3.97,0.43,0.24,0.2,0.2,0.48,0.71
Elizabeth Phillips,1.68,135.0,1.65,Orthodox,30.0,1986-08-20,5,4,0,1.68,135.0,1.65,3.95,0.43,4.82,0.52,0.75,0.25,0.47,0.25,0.56
Elizeu Zaleski dos Santos,1.8,170.0,1.85,Orthodox,33.26,1986-12-11,22,6,0,1.8,170.0,1.85,4.05,0.39,3.87,0.45,1.06,0.43,0.38,0.35,0.79
Elvis Mutapcic,1.83,185.0,1.83,Orthodox,29.88,1986-07-19,15,5,1,1.83,185.0,1.83,6.13,0.56,5.63,0.72,0.0,0.0,0.19,0.0,0.71
Elvis Sinosic,1.91,205.0,1.96,Orthodox,36.18,1971-02-13,7,11,2,1.91,205.0,1.96,6.51,0.73,9.49,0.67,0.0,0.0,1.0,0.71,0.35
Emil Meek,1.8,170.0,1.88,Switch,31.51,1988-08-20,9,5,1,1.8,170.0,1.88,5.6,0.56,4.78,0.68,0.25,0.33,0.48,1.0,0.6
Emily Peters Kagan,1.6,115.0,1.68,0,34.41,1981-07-14,3,3,0,1.6,115.0,1.68,5.31,0.44,3.47,0.52,1.63,0.11,1.0,0.0,0.5
Emily Whitmire,1.65,115.0,1.6,0,28.1,1991-05-24,4,3,0,1.65,115.0,1.6,5.91,0.44,4.36,0.51,1.29,0.67,0.25,0.65,0.57
Emmanuel Yarborough,2.03,770.0,2.03,Open Stance,34.01,1960-09-05,1,2,0,2.03,770.0,2.03,2.02,0.44,18.18,0.69,0.0,0.0,0.0,0.0,0.33
Enrique Barzola,1.7,145.0,1.78,0,30.88,1989-04-28,17,5,2,1.7,145.0,1.78,6.15,0.49,4.95,0.39,3.0,0.41,0.5,0.4,0.71
Enrique Marin,1.78,170.0,1.88,0,29.85,1986-09-02,9,4,0,1.78,170.0,1.88,1.97,0.39,5.5,0.63,2.5,0.38,0.4,1.0,0.69
Enson Inoue,1.78,210.0,1.78,Orthodox,30.13,1967-04-15,12,8,0,1.78,210.0,1.78,1.88,1.0,3.12,0.62,0.0,0.0,0.0,9.38,0.6
Eric Martin,0.0,0.0,0.0,0,8.09,1989-01-05,0,1,0,1.91,247.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Schafer,1.91,185.0,1.9,Orthodox,34.33,1977-09-20,14,7,2,1.91,185.0,1.9,3.99,0.46,5.7,0.51,1.09,0.44,0.55,0.54,0.61
Eric Shelton,1.68,125.0,1.73,Orthodox,28.13,1991-02-02,12,6,0,1.68,125.0,1.73,5.21,0.59,2.65,0.44,2.6,0.62,0.5,0.2,0.67
Eric Spicely,1.85,185.0,1.85,Orthodox,32.73,1986-09-29,12,6,0,1.85,185.0,1.85,4.97,0.48,4.89,0.47,1.26,0.27,0.22,0.84,0.67
Eric Wisely,1.73,145.0,1.73,Southpaw,27.72,1984-07-25,19,8,1,1.73,145.0,1.73,7.24,0.75,8.13,0.74,0.0,0.0,0.67,0.0,0.68
Erick Montano,1.83,170.0,1.85,Orthodox,30.96,1985-11-19,8,5,0,1.83,170.0,1.85,4.66,0.55,3.51,0.48,2.29,0.36,0.5,0.0,0.62
Erick Silva,1.83,170.0,1.88,Orthodox,33.49,1984-06-21,19,9,0,1.83,170.0,1.88,2.69,0.47,5.79,0.52,0.78,0.33,0.5,0.52,0.68
Ericka Almeida,1.68,115.0,1.73,0,26.64,1989-03-05,7,2,0,1.68,115.0,1.73,2.97,0.6,5.87,0.7,0.5,0.33,1.0,0.0,0.78
Erik Koch,1.78,170.0,1.8,Southpaw,30.81,1988-10-04,16,6,0,1.78,170.0,1.8,3.05,0.47,3.28,0.49,1.86,0.44,0.08,0.27,0.73
Erik Perez,1.73,135.0,1.73,Orthodox,26.96,1989-11-19,17,6,0,1.73,135.0,1.73,7.48,0.59,3.96,0.48,3.14,0.61,0.73,0.0,0.74
Ernest Chavez,1.73,145.0,1.78,Orthodox,31.27,1983-06-27,8,2,0,1.73,145.0,1.78,4.96,0.54,3.89,0.44,0.89,0.33,0.0,0.0,0.8
Ernie Verdicia,1.8,199.0,1.8,Orthodox,10.75,1984-07-05,0,1,0,1.8,199.0,1.8,2.94,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eryk Anders,1.85,205.0,1.9,Southpaw,32.48,1987-04-21,13,4,0,1.85,205.0,1.9,3.2,0.42,5.51,0.51,1.47,0.5,0.12,0.24,0.76
Estevan Payan,1.78,145.0,1.83,Orthodox,32.1,1982-03-14,14,6,0,1.78,145.0,1.83,4.42,0.5,5.44,0.61,0.56,1.0,0.67,0.56,0.7
Eugene Jackson,1.73,185.0,1.73,Orthodox,35.8,1966-09-23,15,9,1,1.73,185.0,1.73,5.04,0.81,4.27,0.76,1.53,0.67,0.86,3.05,0.6
Eugenio Tadeu,1.73,160.0,1.73,Orthodox,10.91,1987-04-16,2,3,0,1.73,160.0,1.73,3.28,0.64,10.26,0.7,0.0,0.0,1.0,0.0,0.4
Evan Dunham,1.78,155.0,1.78,Southpaw,36.76,1981-12-18,18,8,1,1.78,155.0,1.78,6.74,0.53,3.94,0.47,2.72,0.32,0.09,0.82,0.67
Evan Tanner,1.83,185.0,1.88,Orthodox,37.05,1971-02-11,32,8,0,1.83,185.0,1.88,4.39,0.57,6.07,0.51,2.07,0.43,0.75,1.72,0.8
Fabiano Iha,1.73,155.0,1.73,Orthodox,31.17,1970-07-28,9,5,0,1.73,155.0,1.73,3.31,0.6,3.45,0.63,3.4,0.45,0.33,4.08,0.64
Fabiano Scherner,1.91,257.0,1.91,Orthodox,33.91,1972-06-30,8,8,0,1.91,257.0,1.91,3.78,0.57,4.5,0.62,1.09,0.33,0.67,0.0,0.5
Fabio Gurgel,1.83,205.0,1.83,Orthodox,7.36,1989-05-11,3,2,0,1.83,205.0,1.83,1.0,0.94,11.93,0.95,1.0,0.33,1.0,1.0,0.6
Fabio Maldonado,1.85,205.0,1.9,Orthodox,35.64,1980-03-17,22,9,0,1.85,205.0,1.9,4.9,0.62,6.38,0.58,0.27,1.0,0.5,0.0,0.71
Fabricio Camoes,1.78,155.0,1.85,Orthodox,35.84,1978-12-23,14,9,1,1.78,155.0,1.85,2.61,0.52,4.04,0.53,1.24,0.15,0.83,1.24,0.58
Fabricio Werdum,1.93,231.0,1.96,Orthodox,40.63,1977-07-30,23,8,1,1.93,231.0,1.96,6.55,0.62,5.02,0.51,1.24,0.26,0.38,0.41,0.72
Falaniko Vitale,1.78,185.0,1.78,Orthodox,29.36,1974-07-14,29,10,0,1.78,185.0,1.78,0.98,0.42,6.07,0.74,0.0,0.0,0.17,0.0,0.74
Fares Ziam,1.85,155.0,1.9,Orthodox,22.46,1997-03-21,10,3,0,1.85,155.0,1.9,4.67,0.73,4.67,0.73,0.0,0.0,0.0,0.0,0.77
Felice Herrig,1.63,115.0,1.65,Orthodox,34.05,1984-09-18,14,8,0,1.63,115.0,1.65,5.95,0.42,6.25,0.46,1.2,0.3,0.2,0.2,0.64
Felicia Spencer,1.68,145.0,1.73,Orthodox,29.25,1990-11-29,8,1,0,1.68,145.0,1.73,7.13,0.64,3.77,0.55,1.36,0.17,0.0,0.68,0.89
Felipe Arantes,1.73,135.0,1.85,Orthodox,30.37,1988-02-09,18,10,1,1.73,135.0,1.85,2.12,0.41,5.06,0.48,0.0,0.0,0.62,1.18,0.62
Felipe Colares,1.73,135.0,1.75,Orthodox,25.82,1994-03-31,9,2,0,1.73,135.0,1.75,2.84,0.57,5.69,0.72,2.0,0.25,0.59,1.0,0.82
Felipe Olivieri,1.75,155.0,1.83,Orthodox,30.8,1985-04-12,14,5,0,1.75,155.0,1.83,7.21,0.59,7.21,0.59,0.0,0.0,0.0,0.0,0.74
Felipe Silva,1.83,155.0,1.96,Orthodox,34.03,1984-05-08,8,2,0,1.83,155.0,1.96,7.73,0.57,7.67,0.61,1.0,1.0,1.0,0.0,0.8
Felix Lee Mitchell,0.0,0.0,0.0,Orthodox,11.47,1985-06-20,2,7,0,1.85,219.0,1.85,1.47,0.95,0.49,1.0,0.0,0.0,0.5,0.0,0.22
Fernando Bruno,1.68,145.0,1.78,0,33.43,1982-02-24,16,4,0,1.68,145.0,1.78,2.78,0.77,3.18,0.82,2.03,0.18,0.44,0.0,0.8
Filip Pejic,1.73,135.0,1.78,Orthodox,23.72,1992-07-21,10,2,1,1.73,135.0,1.78,0.88,0.5,0.88,0.5,0.0,0.0,0.0,0.0,0.77
Flavio Luiz Moura,1.8,183.0,1.8,Open Stance,11.66,1987-11-19,17,7,0,1.8,183.0,1.8,3.46,0.83,13.86,0.81,0.0,0.0,0.0,0.0,0.71
Forrest Griffin,1.91,205.0,1.96,Orthodox,33.31,1979-03-16,19,7,0,1.91,205.0,1.96,6.53,0.4,3.66,0.42,1.49,0.62,0.41,0.0,0.73
Forrest Petz,1.75,170.0,1.8,Orthodox,34.98,1975-09-22,24,9,0,1.75,170.0,1.8,3.71,0.37,4.24,0.57,0.25,1.0,0.33,0.0,0.73
