name,record,height,weight,reach,stance,dob,event_name,f1_name_a,f1_name_span,f2_name_a,f2_name_span,weightclass,rounds,time,f1_result,f2_result,f1_kd,f2_kd,f1_sig_str,f2_sig_str,f1_sig_str_perc,f2_sig_str_perc,f1_tot_str,f2_tot_str,f1_td,f2_td,f1_td_perc,f2_td_perc,f1_sub_att,f2_sub_att,f1_pass,f2_pass,f1_rev,f2_rev,f1_sig_str_head,f2_sig_str_head,f1_sig_str_body,f2_sig_str_body,f1_sig_str_leg,f2_sig_str_leg,f1_sig_str_dist,f2_sig_str_dist,f1_sig_str_clinch,f2_sig_str_clinch,f1_sig_str_ground,f2_sig_str_ground
"
                Rani Yahya

            ","
                Record: 26-10-1 (1 NC)
            ","
      5' 6""
    ","
      135 lbs.
    ","
      67""
    ","
      Orthodox
    ","
      
        Sep 12, 1984
      
    ","

  UFC Fight Night: Emmett vs. Stephens

   ",Rani Yahya ,,Russell Doane ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        2:32

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      17 of 20
    ","
      2 of 8
    ","
      85%
    ","
      25%
    ","
      105 of 149
    ","
      15 of 30
    ","
      2 of 3
    ","
      1 of 1
    ","
      66%
    ","
      100%
    ","
      2
    ","
      0
    ","
      5
    ","
      1
    ","
      1
    ","
      0
    ","
      1 of 4
    ","
      0 of 5
    ","
      14 of 14
    ","
      2 of 3
    ","
      2 of 2
    ","
      0 of 0
    ","
      2 of 5
    ","
      2 of 8
    ","
      0 of 0
    ","
      0 of 0
    ","
      15 of 15
    ","
      0 of 0
    "
"
                Rani Yahya

            ","
                Record: 26-10-1 (1 NC)
            ","
      5' 6""
    ","
      135 lbs.
    ","
      67""
    ","
      Orthodox
    ","
      
        Sep 12, 1984
      
    ","

  UFC Fight Night: Gaethje vs. Vick

   ",Rani Yahya ,,Luke Sanders ,,"
      
      Bantamweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:31

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      4 of 8
    ","
      2 of 4
    ","
      50%
    ","
      50%
    ","
      4 of 8
    ","
      2 of 4
    ","
      0 of 2
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 4
    ","
      2 of 4
    ","
      1 of 1
    ","
      0 of 0
    ","
      2 of 3
    ","
      0 of 0
    ","
      4 of 8
    ","
      2 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 1
    "
"
                Rani Yahya

            ","
                Record: 26-10-1 (1 NC)
            ","
      5' 6""
    ","
      135 lbs.
    ","
      67""
    ","
      Orthodox
    ","
      
        Sep 12, 1984
      
    ","

  UFC 234: Adesanya vs. Silva

   ",Rani Yahya ,,Ricky Simon ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      2
    ","
      47 of 186
    ","
      54 of 137
    ","
      25%
    ","
      39%
    ","
      52 of 195
    ","
      66 of 150
    ","
      0 of 9
    ","
      4 of 5
    ","
      0%
    ","
      80%
    ","
      0
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      29 of 159
    ","
      40 of 116
    ","
      10 of 14
    ","
      9 of 16
    ","
      8 of 13
    ","
      5 of 5
    ","
      47 of 186
    ","
      38 of 114
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      16 of 23
    "
"
                Rani Yahya

            ","
                Record: 26-10-1 (1 NC)
            ","
      5' 6""
    ","
      135 lbs.
    ","
      67""
    ","
      Orthodox
    ","
      
        Sep 12, 1984
      
    ","

  UFC Fight Night: Lee vs. Oliveira

   ",Rani Yahya ,,Enrique Barzola ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    D
  ","
    D
  ","
      0
    ","
      0
    ","
      24 of 45
    ","
      57 of 86
    ","
      53%
    ","
      66%
    ","
      58 of 83
    ","
      148 of 187
    ","
      2 of 5
    ","
      1 of 2
    ","
      40%
    ","
      50%
    ","
      0
    ","
      1
    ","
      3
    ","
      5
    ","
      1
    ","
      1
    ","
      12 of 30
    ","
      39 of 65
    ","
      5 of 7
    ","
      18 of 20
    ","
      7 of 8
    ","
      0 of 1
    ","
      19 of 38
    ","
      10 of 36
    ","
      1 of 2
    ","
      1 of 1
    ","
      4 of 5
    ","
      46 of 49
    "
"
                Alexander Yakovlev

            ","
                Record: 24-9-1
            ","
      6' 3""
    ","
      155 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Jul 18, 1984
      
    ","

  UFC Fight Night: Nelson vs Story

   ",Nico Musoke ,,Alexander Yakovlev ,,"
      
      Welterweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      70 of 156
    ","
      44 of 107
    ","
      44%
    ","
      41%
    ","
      97 of 183
    ","
      44 of 107
    ","
      0 of 4
    ","
      0 of 9
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      41 of 126
    ","
      24 of 83
    ","
      15 of 16
    ","
      11 of 15
    ","
      14 of 14
    ","
      9 of 9
    ","
      53 of 135
    ","
      43 of 106
    ","
      17 of 21
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Alexander Yakovlev

            ","
                Record: 24-9-1
            ","
      6' 3""
    ","
      155 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Jul 18, 1984
      
    ","

  UFC Fight Night: Mendes vs Lamas

   ",Gray Maynard ,,Alexander Yakovlev ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      1
    ","
      21 of 55
    ","
      31 of 72
    ","
      38%
    ","
      43%
    ","
      27 of 61
    ","
      46 of 92
    ","
      2 of 17
    ","
      2 of 5
    ","
      11%
    ","
      40%
    ","
      0
    ","
      0
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      16 of 41
    ","
      21 of 59
    ","
      3 of 12
    ","
      9 of 11
    ","
      2 of 2
    ","
      1 of 2
    ","
      18 of 48
    ","
      15 of 49
    ","
      3 of 7
    ","
      8 of 12
    ","
      0 of 0
    ","
      8 of 11
    "
"
                Alexander Yakovlev

            ","
                Record: 24-9-1
            ","
      6' 3""
    ","
      155 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Jul 18, 1984
      
    ","

  UFC Fight Night: Johnson vs. Bader

   ",George Sullivan ,,Alexander Yakovlev ,,"
      
      Welterweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:59

      ","
    L
  ","
    W
  ","
      0
    ","
      1
    ","
      14 of 22
    ","
      15 of 18
    ","
      63%
    ","
      83%
    ","
      19 of 27
    ","
      17 of 20
    ","
      0 of 0
    ","
      2 of 2
    ","
      0%
    ","
      100%
    ","
      0
    ","
      0
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      1 of 6
    ","
      5 of 7
    ","
      5 of 5
    ","
      5 of 6
    ","
      8 of 11
    ","
      5 of 5
    ","
      11 of 19
    ","
      8 of 10
    ","
      3 of 3
    ","
      3 of 4
    ","
      0 of 0
    ","
      4 of 4
    "
"
                Alexander Yakovlev

            ","
                Record: 24-9-1
            ","
      6' 3""
    ","
      155 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Jul 18, 1984
      
    ","

  UFC Fight Night: Holm vs. Shevchenko

   ",Kamaru Usman ,,Alexander Yakovlev ,,"
      
      Welterweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      41 of 67
    ","
      8 of 15
    ","
      61%
    ","
      53%
    ","
      155 of 195
    ","
      11 of 18
    ","
      5 of 9
    ","
      0 of 0
    ","
      55%
    ","
      0%
    ","
      0
    ","
      0
    ","
      8
    ","
      0
    ","
      0
    ","
      0
    ","
      26 of 46
    ","
      1 of 5
    ","
      10 of 15
    ","
      6 of 9
    ","
      5 of 6
    ","
      1 of 1
    ","
      0 of 21
    ","
      5 of 11
    ","
      1 of 2
    ","
      3 of 4
    ","
      40 of 44
    ","
      0 of 0
    "
"
                Alexander Yakovlev

            ","
                Record: 24-9-1
            ","
      6' 3""
    ","
      155 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Jul 18, 1984
      
    ","

  UFC Fight Night: Mousasi vs. Hall 2

   ",Zak Cummings ,,Alexander Yakovlev ,,"
      
      Welterweight Bout
    ","
        ,
        2
      ","
        ,
        
        4:02

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      24 of 80
    ","
      18 of 41
    ","
      30%
    ","
      43%
    ","
      38 of 94
    ","
      18 of 41
    ","
      0 of 0
    ","
      1 of 2
    ","
      0%
    ","
      50%
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 67
    ","
      9 of 27
    ","
      3 of 6
    ","
      4 of 6
    ","
      7 of 7
    ","
      5 of 8
    ","
      22 of 74
    ","
      18 of 40
    ","
      2 of 5
    ","
      0 of 0
    ","
      0 of 1
    ","
      0 of 1
    "
"
                Alexander Yakovlev

            ","
                Record: 24-9-1
            ","
      6' 3""
    ","
      155 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Jul 18, 1984
      
    ","

  UFC Fight Night: Overeem vs. Oleinik

   ",Alexander Yakovlev ,,Alex Da Silva ,,"
      
      Lightweight Bout
    ","
        ,
        2
      ","
        ,
        
        3:10

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      14 of 19
    ","
      8 of 19
    ","
      73%
    ","
      42%
    ","
      18 of 23
    ","
      10 of 23
    ","
      1 of 2
    ","
      1 of 3
    ","
      50%
    ","
      33%
    ","
      1
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      9 of 14
    ","
      3 of 14
    ","
      4 of 4
    ","
      3 of 3
    ","
      1 of 1
    ","
      2 of 2
    ","
      2 of 6
    ","
      2 of 11
    ","
      5 of 5
    ","
      3 of 3
    ","
      7 of 8
    ","
      3 of 5
    "
"
                Alexander Yakovlev

            ","
                Record: 24-9-1
            ","
      6' 3""
    ","
      155 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Jul 18, 1984
      
    ","

  UFC Fight Night: Zabit vs. Kattar

   ",Alexander Yakovlev ,,Roosevelt Roberts ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      20 of 49
    ","
      28 of 98
    ","
      40%
    ","
      28%
    ","
      38 of 71
    ","
      56 of 128
    ","
      3 of 8
    ","
      0 of 0
    ","
      37%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      3
    ","
      0
    ","
      0
    ","
      8 of 34
    ","
      22 of 90
    ","
      6 of 9
    ","
      2 of 4
    ","
      6 of 6
    ","
      4 of 4
    ","
      12 of 38
    ","
      27 of 96
    ","
      1 of 1
    ","
      1 of 2
    ","
      7 of 10
    ","
      0 of 0
    "
"
                Kenichi Yamamoto

            ","
                Record: 5-10-2
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Jul 11, 1976
      
    ","

  UFC 23: Ultimate Japan 2

   ",,Kenichi Yamamoto,,Daiju Takase,"
      
      Open Weight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      20 of 26
    ","
      5 of 9
    ","
      76%
    ","
      55%
    ","
      36 of 45
    ","
      12 of 17
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      6 of 12
    ","
      5 of 7
    ","
      14 of 14
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 1
    ","
      2 of 4
    ","
      0 of 3
    ","
      0 of 0
    ","
      0 of 1
    ","
      18 of 22
    ","
      5 of 5
    "
"
                Kenichi Yamamoto

            ","
                Record: 5-10-2
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Jul 11, 1976
      
    ","

  UFC 29: Defense of the Belts

   ",,Pat Miletich,,Kenichi Yamamoto,"
      ,
      UFC Welterweight Title Bout
    ","
        ,
        2
      ","
        ,
        
        1:58

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      16 of 28
    ","
      3 of 7
    ","
      57%
    ","
      42%
    ","
      31 of 43
    ","
      3 of 7
    ","
      3 of 3
    ","
      0 of 4
    ","
      100%
    ","
      0%
    ","
      2
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      15 of 25
    ","
      0 of 3
    ","
      0 of 0
    ","
      2 of 2
    ","
      1 of 3
    ","
      1 of 2
    ","
      5 of 15
    ","
      2 of 6
    ","
      1 of 1
    ","
      1 of 1
    ","
      10 of 12
    ","
      0 of 0
    "
"
                Kenichi Yamamoto

            ","
                Record: 5-10-2
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Jul 11, 1976
      
    ","

  PRIDE 23: Championship Chaos 2

   ",,Kevin Randleman,,Kenichi Yamamoto,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        1:16

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      40 of 55
    ","
      2 of 5
    ","
      72%
    ","
      40%
    ","
      93 of 112
    ","
      17 of 20
    ","
      1 of 1
    ","
      0 of 1
    ","
      100%
    ","
      0%
    ","
      7
    ","
      0
    ","
      6
    ","
      0
    ","
      0
    ","
      0
    ","
      35 of 50
    ","
      2 of 2
    ","
      5 of 5
    ","
      0 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 6
    ","
      0 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      39 of 49
    ","
      2 of 2
    "
"
                Kenichi Yamamoto

            ","
                Record: 5-10-2
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Jul 11, 1976
      
    ","

  PRIDE 25: Body Blow

   ",,Alexander Otsuka,,Kenichi Yamamoto,"
      
      Open Weight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      18 of 35
    ","
      9 of 17
    ","
      51%
    ","
      52%
    ","
      147 of 173
    ","
      42 of 56
    ","
      4 of 4
    ","
      0 of 1
    ","
      100%
    ","
      0%
    ","
      4
    ","
      1
    ","
      2
    ","
      3
    ","
      0
    ","
      2
    ","
      16 of 31
    ","
      1 of 7
    ","
      1 of 1
    ","
      1 of 1
    ","
      1 of 3
    ","
      7 of 9
    ","
      4 of 14
    ","
      8 of 13
    ","
      0 of 2
    ","
      1 of 3
    ","
      14 of 19
    ","
      0 of 1
    "
"
                Kenichi Yamamoto

            ","
                Record: 5-10-2
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Jul 11, 1976
      
    ","

  PRIDE Bushido 4

   ",,Ikuhisa Minowa,,Kenichi Yamamoto,"
      
      Welterweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:23

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      16 of 29
    ","
      0 of 1
    ","
      55%
    ","
      0%
    ","
      38 of 55
    ","
      0 of 1
    ","
      1 of 2
    ","
      0 of 0
    ","
      50%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      16 of 29
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 1
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      16 of 28
    ","
      0 of 0
    "
"
                Yoshihisa Yamamoto

            ","
                Record: 14-24-1
            ","
      6' 2""
    ","
      220 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 04, 1970
      
    ","

  PRIDE 18: Cold Fury 2

   ",,Yoshihisa Yamamoto,,Jan Nortje,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:43

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      2 of 3
    ","
      1 of 4
    ","
      66%
    ","
      25%
    ","
      17 of 18
    ","
      2 of 5
    ","
      1 of 3
    ","
      0 of 0
    ","
      33%
    ","
      0%
    ","
      1
    ","
      1
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 1
    ","
      1 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 2
    ","
      0 of 0
    ","
      1 of 2
    ","
      1 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 1
    ","
      0 of 2
    "
"
                Yoshihisa Yamamoto

            ","
                Record: 14-24-1
            ","
      6' 2""
    ","
      220 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 04, 1970
      
    ","

  PRIDE 20: Armed and Ready

   ",,Bob Sapp,,Yoshihisa Yamamoto,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        2:44

      ","
    W
  ","
    L
  ","
      2
    ","
      0
    ","
      23 of 41
    ","
      9 of 21
    ","
      56%
    ","
      42%
    ","
      29 of 47
    ","
      13 of 25
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      18 of 35
    ","
      4 of 16
    ","
      5 of 6
    ","
      2 of 2
    ","
      0 of 0
    ","
      3 of 3
    ","
      6 of 19
    ","
      7 of 15
    ","
      15 of 20
    ","
      2 of 6
    ","
      2 of 2
    ","
      0 of 0
    "
"
                Yoshihisa Yamamoto

            ","
                Record: 14-24-1
            ","
      6' 2""
    ","
      220 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 04, 1970
      
    ","

  PRIDE 22: Beasts from the East 2

   ",,Guy Mezger,,Yoshihisa Yamamoto,"
      
      Open Weight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      78 of 254
    ","
      23 of 105
    ","
      30%
    ","
      21%
    ","
      84 of 260
    ","
      25 of 107
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      42 of 198
    ","
      8 of 58
    ","
      29 of 45
    ","
      11 of 22
    ","
      7 of 11
    ","
      4 of 25
    ","
      61 of 227
    ","
      21 of 101
    ","
      16 of 26
    ","
      2 of 4
    ","
      1 of 1
    ","
      0 of 0
    "
"
                Yoshihisa Yamamoto

            ","
                Record: 14-24-1
            ","
      6' 2""
    ","
      220 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 04, 1970
      
    ","

  PRIDE 24: Cold Fury 3

   ",,Yoshihisa Yamamoto,,Alexander Otsuka,"
      
      Heavyweight Bout
    ","
        ,
        2
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      3 of 19
    ","
      21 of 26
    ","
      15%
    ","
      80%
    ","
      51 of 71
    ","
      117 of 124
    ","
      1 of 6
    ","
      1 of 4
    ","
      16%
    ","
      25%
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      3 of 19
    ","
      3 of 7
    ","
      0 of 0
    ","
      7 of 8
    ","
      0 of 0
    ","
      11 of 11
    ","
      1 of 16
    ","
      11 of 14
    ","
      0 of 0
    ","
      7 of 8
    ","
      2 of 3
    ","
      3 of 4
    "
"
                Yoshihisa Yamamoto

            ","
                Record: 14-24-1
            ","
      6' 2""
    ","
      220 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 04, 1970
      
    ","

  PRIDE Final Conflict 2003

   ",Heath Herring ,,,Yoshihisa Yamamoto,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        2:29

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      53 of 75
    ","
      19 of 43
    ","
      70%
    ","
      44%
    ","
      98 of 125
    ","
      67 of 97
    ","
      1 of 4
    ","
      3 of 10
    ","
      25%
    ","
      30%
    ","
      1
    ","
      1
    ","
      2
    ","
      3
    ","
      1
    ","
      0
    ","
      33 of 50
    ","
      12 of 35
    ","
      14 of 17
    ","
      7 of 8
    ","
      6 of 8
    ","
      0 of 0
    ","
      15 of 29
    ","
      8 of 26
    ","
      19 of 26
    ","
      5 of 8
    ","
      19 of 20
    ","
      6 of 9
    "
"
                Yoshihisa Yamamoto

            ","
                Record: 14-24-1
            ","
      6' 2""
    ","
      220 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 04, 1970
      
    ","

  PRIDE 27: Inferno

   ",,Yoshihisa Yamamoto,,Mark Kerr,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        0:40

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      4 of 6
    ","
      0 of 1
    ","
      66%
    ","
      0%
    ","
      4 of 6
    ","
      0 of 1
    ","
      0 of 0
    ","
      1 of 1
    ","
      0%
    ","
      100%
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      4 of 5
    ","
      0 of 1
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 2
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      3 of 4
    ","
      0 of 0
    "
"
                Yoshihisa Yamamoto

            ","
                Record: 14-24-1
            ","
      6' 2""
    ","
      220 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 04, 1970
      
    ","

  PRIDE Bushido 2

   ",Mirko Filipovic ,,,Yoshihisa Yamamoto,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        2:12

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      19 of 25
    ","
      1 of 13
    ","
      76%
    ","
      7%
    ","
      19 of 25
    ","
      1 of 13
    ","
      0 of 0
    ","
      0 of 3
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      12 of 18
    ","
      1 of 10
    ","
      1 of 1
    ","
      0 of 2
    ","
      6 of 6
    ","
      0 of 1
    ","
      11 of 14
    ","
      1 of 13
    ","
      4 of 5
    ","
      0 of 0
    ","
      4 of 6
    ","
      0 of 0
    "
"
                Yoshihisa Yamamoto

            ","
                Record: 14-24-1
            ","
      6' 2""
    ","
      220 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 04, 1970
      
    ","

  PRIDE Bushido 3

   ",,Mu Bae Choi,,Yoshihisa Yamamoto,"
      
      Heavyweight Bout
    ","
        ,
        2
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      28 of 57
    ","
      60 of 106
    ","
      49%
    ","
      56%
    ","
      61 of 93
    ","
      117 of 165
    ","
      4 of 5
    ","
      0 of 2
    ","
      80%
    ","
      0%
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      27 of 55
    ","
      38 of 75
    ","
      1 of 2
    ","
      2 of 7
    ","
      0 of 0
    ","
      20 of 24
    ","
      13 of 34
    ","
      43 of 81
    ","
      6 of 9
    ","
      17 of 25
    ","
      9 of 14
    ","
      0 of 0
    "
"
                Atsushi Yamamoto

            ","
                Record: 15-7-3
            ","
      5' 6""
    ","
      139 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Oct 02, 1980
      
    ","

  DREAM 7: Featherweight Grand Prix 2009 1st Round

   ",,Masakazu Imanari,,Atsushi Yamamoto,"
      
      Featherweight Bout
    ","
        ,
        2
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      1
    ","
      11 of 28
    ","
      18 of 38
    ","
      39%
    ","
      47%
    ","
      38 of 57
    ","
      105 of 137
    ","
      0 of 3
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      1 of 8
    ","
      4 of 16
    ","
      10 of 16
    ","
      3 of 3
    ","
      0 of 4
    ","
      11 of 19
    ","
      5 of 20
    ","
      12 of 29
    ","
      0 of 0
    ","
      0 of 0
    ","
      6 of 8
    ","
      6 of 9
    "
"
                Atsushi Yamamoto

            ","
                Record: 15-7-3
            ","
      5' 6""
    ","
      139 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Oct 02, 1980
      
    ","

  DREAM - Fight for Japan

   ",,Atsushi Yamamoto,,Hideo Tokoro,"
      
      Bantamweight Bout
    ","
        ,
        2
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      16 of 65
    ","
      25 of 70
    ","
      24%
    ","
      35%
    ","
      40 of 93
    ","
      38 of 83
    ","
      1 of 4
    ","
      0 of 1
    ","
      25%
    ","
      0%
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      13 of 57
    ","
      8 of 43
    ","
      0 of 2
    ","
      4 of 6
    ","
      3 of 6
    ","
      13 of 21
    ","
      14 of 62
    ","
      24 of 68
    ","
      1 of 1
    ","
      1 of 2
    ","
      1 of 2
    ","
      0 of 0
    "
"
                Atsushi Yamamoto

            ","
                Record: 15-7-3
            ","
      5' 6""
    ","
      139 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Oct 02, 1980
      
    ","

  DREAM - Fight for Japan

   ",,Yusaku Nakamura,,Atsushi Yamamoto,"
      
      Bantamweight Bout
    ","
        ,
        1
      ","
        ,
        
        8:43

      ","
    L
  ","
    W
  ","
      1
    ","
      0
    ","
      15 of 33
    ","
      32 of 72
    ","
      45%
    ","
      44%
    ","
      16 of 35
    ","
      123 of 182
    ","
      0 of 0
    ","
      1 of 6
    ","
      0%
    ","
      16%
    ","
      0
    ","
      0
    ","
      0
    ","
      6
    ","
      1
    ","
      1
    ","
      15 of 33
    ","
      27 of 67
    ","
      0 of 0
    ","
      5 of 5
    ","
      0 of 0
    ","
      0 of 0
    ","
      13 of 29
    ","
      3 of 17
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 4
    ","
      29 of 55
    "
"
                Norifumi Yamamoto

            ","
                Record: 18-6-0 (2 NC)
            ","
      5' 4""
    ","
      135 lbs.
    ","
      66""
    ","
      Southpaw
    ","
      
        Mar 15, 1977
      
    ","

  Dynamite!! 2009

   ",Masanori Kanehara ,,Norifumi Yamamoto ,,"
      
      Featherweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      1
    ","
      1
    ","
      27 of 67
    ","
      32 of 69
    ","
      40%
    ","
      46%
    ","
      79 of 123
    ","
      80 of 117
    ","
      1 of 4
    ","
      0 of 0
    ","
      25%
    ","
      0%
    ","
      0
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      0
    ","
      17 of 53
    ","
      17 of 42
    ","
      6 of 8
    ","
      1 of 1
    ","
      4 of 6
    ","
      14 of 26
    ","
      27 of 66
    ","
      26 of 62
    ","
      0 of 0
    ","
      3 of 3
    ","
      0 of 1
    ","
      3 of 4
    "
