name,height,weight,reach,age,dob,wins,losses,draws,str_landed_per_min,str_acc,str_absorb_per_min,str_def,td_avg,td_acc,td_def,sub_avg,win_percentage
Bob Cook,1.75,170.0,1.75,13.03,1987-02-27,4,0,0,8.18,0.68,4.01,0.4,2.31,0.2,,4.63,1.0
Bob Gilstrap,1.91,200.0,1.91,12.07,1986-04-18,5,5,0,0.0,0.0,1.15,1.0,0.0,,1.0,0.0,0.5
Bobby Green,1.78,155.0,1.8,33.19,1986-09-09,23,10,1,4.47,0.5,2.4,0.28,2.0,1.0,0.5,0.0,0.68
Bobby Hoffman,1.88,245.0,1.88,33.01,1968-10-28,36,9,1,2.23,0.68,8.81,0.94,1.59,0.5,1.0,1.59,0.78
Bobby Moffett,1.78,145.0,1.85,29.19,1990-06-01,13,5,0,6.53,0.4,5.87,0.36,0.0,0.0,0.43,0.0,0.72
Bobby Nash,1.83,170.0,1.88,27.67,1990-03-26,8,3,0,4.0,0.33,60.0,1.0,0.0,,,0.0,0.73
Bobby Voelker,1.83,170.0,1.9,35.12,1979-04-26,24,11,0,4.93,0.54,5.4,0.6,0.0,0.0,0.29,0.0,0.69
Bojan Mihajlovic,1.8,205.0,1.85,37.43,1980-03-30,10,5,0,0.93,0.33,0.93,0.33,0.0,,,0.0,0.67
Bojan Velickovic,1.83,170.0,1.93,28.92,1988-12-18,14,6,1,7.53,0.69,3.33,0.72,1.0,1.0,0.36,1.0,0.67
Boston Salmon,1.75,135.0,1.75,28.91,1990-11-20,6,2,0,7.11,0.62,10.22,0.51,0.0,0.0,,0.0,0.75
Brad Blackburn,1.78,170.0,1.85,32.88,1977-05-25,17,13,1,6.84,0.5,3.46,0.36,4.95,0.8,,2.47,0.55
Brad Gumm,1.8,170.0,1.8,23.4,1977-04-28,10,5,1,8.8,0.83,6.3,0.67,0.0,0.0,1.0,0.0,0.62
Brad Imes,2.01,265.0,2.01,30.07,1977-03-13,13,6,0,2.33,0.47,10.87,0.7,1.0,0.5,1.0,2.0,0.68
Brad Katona,1.68,135.0,1.63,27.74,1991-12-19,8,2,0,2.67,0.48,3.67,0.41,3.0,0.25,0.0,0.0,0.8
Brad Kohler,1.75,220.0,1.75,35.33,1964-05-26,11,13,0,6.0,1.0,0.0,,30.0,1.0,,0.0,0.46
Brad Morris,1.88,205.0,1.88,28.88,1979-11-01,10,5,0,0.51,1.0,12.15,0.89,0.0,,1.0,0.0,0.67
Brad Pickett,1.68,135.0,1.73,38.48,1978-09-24,26,13,0,4.7,0.49,5.21,0.48,2.17,0.5,,0.0,0.67
Brad Riddell,1.7,155.0,1.8,28.4,1991-09-30,7,1,0,4.0,0.62,2.4,0.64,1.0,1.0,0.73,0.0,0.88
Brad Tavares,1.85,185.0,1.88,31.87,1987-12-21,16,7,0,1.22,0.13,5.71,0.37,0.0,,,0.0,0.7
Bradley Scott,1.85,170.0,1.93,28.92,1989-06-24,12,5,0,4.2,0.39,4.53,0.38,0.0,,0.75,0.0,0.71
Branden Lee Hinkle,1.91,235.0,1.91,32.92,1973-07-29,14,11,0,1.0,0.71,16.0,0.81,9.0,0.6,,0.0,0.56
Brandon Davis,1.78,135.0,1.83,29.39,1990-05-08,10,7,0,2.4,0.35,4.73,0.53,3.0,0.43,0.5,0.0,0.59
Brandon Moreno,1.7,125.0,1.78,26.27,1993-12-07,16,5,1,6.27,0.64,4.07,0.75,0.0,0.0,0.11,0.0,0.73
Brandon Thatch,1.88,170.0,1.88,31.47,1985-07-11,10,5,0,2.0,0.6,4.0,0.6,0.0,,0.25,6.67,0.67
Brandon Vera,1.91,230.0,1.93,35.89,1977-10-10,11,7,0,3.95,0.68,3.95,0.68,0.0,0.0,0.0,0.0,0.61
Brandon Wolff,1.75,170.0,1.75,33.6,1975-10-18,7,4,0,1.67,0.57,1.67,0.67,0.0,0.0,,0.0,0.64
Brendan Allen,1.88,185.0,1.9,24.17,1995-12-28,13,3,0,7.95,0.73,1.05,0.83,0.0,0.0,0.0,0.0,0.81
Brendan Loughnane,1.78,145.0,1.78,23.03,1989-12-05,16,3,0,6.4,0.68,7.93,0.5,0.0,0.0,0.08,0.0,0.84
Brendan O'Reilly,1.7,170.0,1.75,28.74,1987-06-24,6,2,0,5.33,0.57,5.33,0.57,6.67,1.0,1.0,0.0,0.75
Brendan Schaub,1.93,245.0,1.98,31.72,1983-03-18,11,4,0,1.24,0.43,7.45,0.71,3.11,0.33,1.0,0.0,0.73
Brett Johns,1.7,135.0,1.8,27.93,1992-02-21,15,2,0,5.05,0.81,3.34,0.65,6.99,0.67,0.71,3.49,0.88
Brian Bowles,1.7,135.0,1.78,32.92,1980-06-22,9,3,0,4.17,0.37,6.85,0.45,0.0,,,2.23,0.75
Brian Camozzi,1.88,170.0,1.98,26.66,1991-06-24,7,4,0,3.21,0.28,5.36,0.47,0.0,,,0.0,0.64
Brian Cobb,1.8,155.0,1.8,23.69,1985-06-13,19,5,0,13.54,0.81,3.68,0.44,5.8,0.5,1.0,0.0,0.79
Brian Ebersole,1.83,170.0,1.85,34.52,1980-11-27,50,17,1,0.6,0.21,3.2,0.39,0.0,0.0,,0.0,0.74
Brian Foster,1.75,170.0,1.8,26.63,1984-04-03,18,4,0,5.01,0.57,3.2,0.72,6.27,1.0,1.0,4.18,0.82
Brian Gassaway,1.85,170.0,1.85,33.04,1972-08-07,29,19,2,0.43,0.5,7.5,0.6,0.0,,0.5,0.0,0.58
Brian Houston,1.88,185.0,1.98,32.72,1981-04-26,4,1,0,2.27,0.39,4.07,0.48,1.0,1.0,0.12,0.0,0.8
Brian Johnston,1.91,230.0,1.91,10.09,1987-06-25,4,4,0,2.76,0.6,5.53,0.5,0.0,,1.0,0.0,0.5
Brian Kelleher,1.68,135.0,1.68,33.42,1986-08-19,19,10,0,9.93,0.82,6.74,0.76,5.32,0.5,,5.32,0.66
Brian Melancon,1.73,170.0,1.83,31.25,1982-05-28,6,3,0,3.7,0.39,5.76,0.58,0.0,,0.5,0.0,0.67
Brian Ortega,1.73,145.0,1.75,27.8,1991-02-21,14,1,0,5.6,0.38,15.35,0.61,1.5,0.18,1.0,0.0,0.93
Brian Stann,1.85,205.0,1.88,32.44,1980-09-24,12,5,0,7.12,0.63,5.37,0.51,0.0,,0.0,0.0,0.71
Brianna Van Buren,1.52,115.0,1.57,25.94,1993-08-04,8,2,0,5.87,0.43,2.0,0.41,3.0,0.75,0.67,0.0,0.8
Bristol Marunde,1.85,170.0,1.8,31.29,1982-04-20,12,8,0,0.0,0.0,7.5,0.67,0.0,,,0.0,0.6
Brock Jardine,1.8,170.0,1.85,27.63,1985-07-10,9,2,0,0.34,0.33,9.15,0.84,0.0,,1.0,5.08,0.82
Brock Larson,1.8,170.0,1.8,32.25,1977-08-23,33,5,0,2.73,0.74,2.73,0.74,1.78,0.33,0.33,1.78,0.87
Brock Lesnar,1.91,265.0,2.06,38.99,1977-07-12,5,2,0,9.13,0.82,3.07,0.68,4.0,0.5,,0.0,0.71
Brodie Farber,1.85,170.0,1.85,28.43,1980-07-05,14,5,0,0.93,0.42,6.67,0.72,1.0,0.5,0.8,1.0,0.74
Brok Weaver,1.83,170.0,1.85,28.2,1991-12-05,14,4,0,1.49,0.6,12.41,0.78,0.0,,0.5,3.72,0.78
Bruno Korea,1.68,135.0,1.65,24.36,1991-06-28,4,0,0,3.64,0.48,6.02,0.68,0.0,,0.75,0.0,1.0
Bruno Santos,1.75,185.0,1.75,27.22,1987-07-17,14,1,0,1.93,0.54,6.93,0.58,4.0,0.67,0.43,0.0,0.93
Bruno Silva,1.63,135.0,1.65,30.0,1990-03-16,10,4,1,4.0,0.54,6.13,0.57,3.0,0.27,0.0,0.0,0.67
Bryan Barberena,1.83,170.0,1.83,30.14,1989-05-03,13,7,0,9.46,0.69,7.05,0.59,0.0,,,0.0,0.65
Bryan Caraway,1.73,135.0,1.73,33.58,1984-08-04,20,10,0,7.73,0.49,7.67,0.62,1.0,0.04,0.0,0.0,0.67
Bryce Mitchell,1.78,145.0,1.78,25.18,1994-10-04,11,1,0,5.54,0.86,1.39,0.67,3.46,1.0,,3.46,0.92
Bubba Bush,1.83,185.0,1.85,30.25,1985-07-24,8,3,0,2.07,0.76,10.89,0.79,3.01,0.5,0.4,0.0,0.73
Bubba McDaniel,1.91,185.0,1.9,30.87,1983-05-03,21,7,0,0.88,0.4,5.27,0.62,3.3,1.0,0.5,0.0,0.75
Buddy Roberts,1.88,185.0,1.88,29.82,1982-10-17,11,3,0,2.48,0.5,6.68,0.47,0.0,,0.5,1.86,0.79
Byron Bloodworth,1.73,135.0,1.75,29.37,1983-08-16,6,2,0,2.35,0.75,12.79,0.68,0.0,,,0.0,0.75
CB Dollaway,1.88,185.0,1.93,35.1,1983-08-10,17,10,0,2.3,0.61,5.3,0.72,3.0,0.67,1.0,4.5,0.63
CJ Fernandes,1.88,170.0,1.88,22.86,1977-11-13,14,8,2,6.3,0.67,6.3,0.67,1.5,1.0,1.0,0.0,0.58
CJ Keith,1.83,155.0,1.83,26.45,1986-08-09,8,1,0,0.73,0.45,3.95,0.79,0.0,0.0,0.4,0.0,0.89
CM Punk,1.85,170.0,1.85,39.62,1978-10-26,0,1,0,3.73,0.43,8.6,0.73,1.0,0.11,1.0,0.0,0.0
Cain Carrizosa,1.73,155.0,1.88,28.66,1986-07-22,6,1,0,3.47,0.47,10.07,0.6,0.0,0.0,0.83,0.0,0.86
Cain Velasquez,1.85,240.0,1.96,36.56,1982-07-28,13,3,0,2.33,0.33,13.95,0.6,0.0,0.0,,0.0,0.81
Caio Magalhaes,1.85,185.0,1.85,28.74,1987-12-14,9,2,0,2.6,0.41,2.6,0.41,1.0,0.14,0.14,1.0,0.82
Cal Worsham,1.8,230.0,1.8,8.78,1988-02-26,11,9,0,5.61,0.73,3.16,0.53,0.0,,0.0,0.0,0.55
Cale Yarbrough,1.85,185.0,1.85,21.56,1986-12-27,8,2,0,3.16,0.27,10.0,0.28,0.0,,,0.0,0.8
Callan Potter,1.83,170.0,1.83,35.71,1984-06-09,18,8,0,3.43,0.47,9.01,0.52,6.44,1.0,,0.0,0.69
Calvin Kattar,1.8,145.0,1.83,31.62,1988-03-26,19,4,0,8.47,0.49,6.67,0.39,0.0,,0.25,0.0,0.83
Caol Uno,1.7,155.0,1.78,34.9,1975-05-08,26,14,5,2.37,0.29,6.16,0.4,0.0,,1.0,0.0,0.58
Carla Esparza,1.55,115.0,1.6,31.95,1987-10-10,16,5,0,7.67,0.73,7.67,0.73,4.0,0.36,0.36,0.0,0.76
Carlo Pedersoli,1.8,170.0,1.9,25.71,1993-06-08,10,3,0,3.41,0.38,4.42,0.4,3.01,0.2,,0.0,0.77
Carlo Prater,1.8,155.0,1.83,31.28,1981-06-25,29,12,1,3.6,0.59,7.27,0.78,0.0,0.0,0.43,3.0,0.69
Carlos Barreto,1.93,230.0,1.93,10.93,1986-11-13,14,8,0,7.62,0.7,6.75,0.78,3.75,0.5,1.0,0.0,0.64
Carlos Condit,1.88,170.0,1.9,34.68,1984-04-26,30,12,0,3.37,0.51,2.7,0.48,0.0,,0.8,2.53,0.71
Carlos Eduardo Rocha,1.78,170.0,1.78,30.91,1981-07-12,8,2,0,2.53,0.58,7.8,0.79,0.0,,0.3,0.0,0.8
Carlos Huachin,1.63,135.0,1.7,23.3,1996-06-04,10,4,1,2.47,0.31,4.73,0.55,0.0,,0.4,0.0,0.67
Carlos Newton,1.75,170.0,1.75,27.46,1976-08-17,15,13,0,1.27,0.76,8.27,0.82,2.0,0.4,0.75,0.0,0.54
Carls John De Tomas,1.65,125.0,1.8,21.28,1996-08-28,8,1,0,1.3,0.31,1.3,0.31,0.0,0.0,0.0,0.0,0.89
Carmelo Marrero,1.83,205.0,1.85,28.18,1981-01-26,13,5,0,1.33,0.36,5.8,0.71,0.0,,0.71,0.0,0.72
Caros Fodor,1.75,155.0,1.93,29.13,1984-01-07,7,2,0,5.33,0.63,5.73,0.52,3.0,0.23,0.33,0.0,0.78
Casey Kenney,1.7,135.0,1.73,28.91,1991-03-20,12,2,1,3.13,0.39,7.6,0.47,0.0,,0.5,0.0,0.8
Cat Zingano,1.68,145.0,1.73,36.5,1982-07-01,9,4,0,2.94,0.5,2.94,0.33,0.0,,,0.0,0.69
Cathal Pendred,1.85,170.0,1.9,28.14,1987-09-02,16,5,1,1.73,0.29,5.19,0.67,0.0,0.0,,0.0,0.73
Cesar Arzamendia,1.8,155.0,1.8,25.5,1991-01-31,7,3,0,6.94,0.63,10.2,0.54,0.0,,,6.12,0.7
Cesar Marscucci,1.78,155.0,1.8,11.77,1987-01-07,1,2,0,,,,,,,,,0.33
Cezar Ferreira,1.85,185.0,1.98,34.4,1985-02-15,13,8,0,2.73,0.46,7.07,0.6,0.0,0.0,0.5,0.0,0.62
Chad Griggs,1.85,205.0,1.85,34.51,1978-05-15,11,2,0,1.67,0.67,3.75,0.9,6.25,0.5,1.0,0.0,0.85
Chad Laprise,1.78,170.0,1.8,32.38,1986-07-23,13,4,0,4.94,0.5,3.09,0.2,0.0,,,0.0,0.76
Chad Mendes,1.68,145.0,1.68,33.66,1985-05-01,17,5,0,3.03,0.55,3.03,0.55,4.88,0.75,0.75,0.0,0.77
Chad Reiner,1.8,170.0,1.8,25.95,1981-06-29,28,12,0,9.09,0.22,9.09,0.22,0.0,,,0.0,0.7
Chael Sonnen,1.85,205.0,1.88,36.62,1977-04-03,29,13,1,3.68,0.58,7.84,0.76,0.0,0.0,0.5,0.0,0.67
Chan Sung Jung,1.7,145.0,1.83,32.76,1987-03-17,15,5,0,23.94,0.81,2.73,0.64,0.0,,0.0,0.0,0.75
Chance Rencountre,1.88,170.0,1.9,32.84,1986-12-31,14,3,0,1.91,0.27,6.06,0.51,0.0,0.0,,0.0,0.82
Chanmi Jeon,1.65,115.0,1.7,20.07,1997-08-28,5,1,0,6.6,0.29,9.13,0.48,0.0,,,0.0,0.83
Charles Byrd,1.78,185.0,1.85,35.39,1983-10-11,9,6,0,1.59,0.17,20.63,0.62,0.0,0.0,,0.0,0.6
Charles Jourdain,1.75,155.0,1.75,24.07,1995-11-27,10,1,0,7.87,0.54,4.62,0.46,0.0,,,0.0,0.91
Charles McCarthy,1.78,185.0,1.8,27.7,1980-08-06,10,4,0,0.4,0.15,9.8,0.48,3.0,1.0,,3.0,0.71
Charles Oliveira,1.78,155.0,1.88,30.41,1989-10-17,28,8,0,4.87,0.7,5.83,0.61,0.0,0.0,0.67,2.87,0.78
Charles Rosa,1.75,145.0,1.75,33.15,1986-08-24,12,2,0,2.89,0.73,13.36,0.76,0.0,,1.0,5.42,0.86
Charlie Brenneman,1.78,155.0,1.83,33.74,1981-02-09,18,8,0,2.12,0.56,2.82,0.75,10.59,0.38,1.0,0.0,0.69
Charlie Valencia,1.6,135.0,1.63,36.5,1974-10-31,12,6,0,3.33,0.5,8.0,0.41,0.0,,,0.0,0.67
Charlie Ward,1.8,170.0,1.85,36.58,1980-12-17,3,2,0,1.84,0.31,4.61,0.4,0.0,0.0,1.0,0.0,0.6
Chas Skelly,1.8,145.0,1.83,34.34,1985-05-11,16,4,0,5.33,0.64,4.4,0.54,1.0,0.33,1.0,3.0,0.8
Chase Gormley,1.91,265.0,1.91,25.04,1985-03-07,7,3,0,2.56,0.33,2.56,0.33,0.0,0.0,0.0,0.0,0.7
Chase Hooper,1.85,145.0,1.88,20.25,1999-09-13,8,0,1,8.1,0.53,0.44,0.33,3.28,0.33,,6.56,0.89
Chase Sherman,1.93,250.0,1.98,28.85,1989-11-16,11,5,0,5.98,0.46,5.98,0.46,0.0,,,0.0,0.69
Che Mills,1.85,170.0,1.93,30.39,1982-09-29,14,5,0,3.2,0.67,8.4,0.8,0.0,0.0,0.36,0.0,0.74
Cheick Kongo,1.93,240.0,2.08,37.95,1975-05-17,28,9,2,3.9,0.8,1.46,0.5,0.0,,,0.0,0.72
Chico Camus,1.68,125.0,1.68,30.66,1985-01-26,13,7,0,4.4,0.34,5.33,0.35,0.0,0.0,0.0,0.0,0.65
Chris Avila,1.78,145.0,1.83,23.8,1993-01-16,5,3,0,2.73,0.34,8.6,0.56,0.0,,0.58,0.0,0.62
Chris Beal,1.7,125.0,1.75,30.87,1985-08-06,9,3,0,5.71,0.37,4.62,0.41,0.0,,0.14,0.0,0.75
Chris Brennan,1.73,170.0,1.73,30.25,1971-10-12,18,12,1,6.47,0.84,8.0,0.8,0.0,0.0,1.0,1.0,0.58
Chris Camozzi,1.88,185.0,1.93,30.52,1986-11-20,23,13,0,2.47,0.77,6.13,0.75,0.0,,0.57,1.0,0.64
Chris Cariaso,1.6,125.0,1.6,34.35,1981-05-27,16,8,0,3.6,0.52,5.33,0.47,0.0,0.0,0.75,1.0,0.67
Chris Clements,1.78,170.0,1.78,39.21,1976-02-09,11,6,0,1.93,0.39,4.27,0.66,0.0,,1.0,1.0,0.65
Chris Condo,1.83,335.0,1.83,12.23,1987-02-12,0,0,0,2.13,0.33,25.53,0.86,0.0,,1.0,0.0,
Chris Cope,1.83,170.0,1.83,28.92,1983-03-05,5,3,0,3.8,0.28,7.59,0.68,0.0,,0.33,0.0,0.62
Chris Dempsey,1.78,185.0,1.83,28.47,1987-09-08,11,3,0,4.21,0.83,2.74,0.87,3.16,0.25,0.5,0.0,0.79
Chris Fishgold,1.73,145.0,1.73,26.98,1992-06-06,18,2,1,1.7,0.31,1.91,0.5,0.0,,0.5,0.0,0.86
Chris Gruetzemacher,1.73,155.0,1.73,31.81,1986-06-16,14,2,0,13.5,0.67,4.9,0.36,0.0,,0.0,0.0,0.88
Chris Gutierrez,1.75,135.0,1.7,28.3,1991-04-22,13,3,0,3.27,0.56,3.8,0.43,1.0,0.5,0.29,0.0,0.81
Chris Haseman,1.8,205.0,1.8,33.11,1969-06-02,20,15,0,3.27,0.88,8.73,0.81,0.0,,0.6,2.0,0.57
Chris Heatherly,1.75,155.0,1.73,26.98,1987-11-24,9,2,0,2.07,0.45,2.07,0.45,3.11,0.33,0.33,0.0,0.82
Chris Holdsworth,1.8,135.0,1.8,26.58,1987-10-24,6,0,0,9.33,0.62,9.33,0.62,4.0,0.67,0.67,2.0,1.0
Chris Indich,1.78,170.0,1.85,27.18,1987-04-22,5,2,0,4.07,0.48,4.88,0.62,3.05,1.0,0.33,0.0,0.71
Chris Kelades,1.7,125.0,1.73,35.17,1981-02-21,8,3,0,4.6,0.47,5.67,0.61,1.0,0.14,0.2,0.0,0.73
Chris Leben,1.8,185.0,1.88,33.44,1980-07-21,21,11,0,2.2,0.33,4.4,0.45,0.0,,,0.0,0.66
Chris Liguori,1.75,185.0,1.75,20.93,1982-12-16,13,8,0,3.45,0.86,4.89,0.89,0.0,,0.5,0.0,0.62
Chris Lytle,1.8,170.0,1.73,36.99,1974-08-18,31,17,5,9.39,0.48,4.41,0.26,0.0,,0.5,1.05,0.58
Chris Price,1.88,185.0,1.88,24.21,1982-11-09,18,2,0,2.69,0.89,4.38,0.59,0.0,,0.5,5.05,0.9
Chris Spang,1.88,170.0,1.88,25.36,1987-11-26,5,1,0,1.6,0.32,1.6,0.32,0.0,,,0.0,0.83
Chris Tuchscherer,1.88,258.0,1.93,35.47,1975-09-08,21,3,0,3.29,0.42,3.59,0.43,2.25,0.25,,0.0,0.88
Chris Wade,1.78,155.0,1.78,29.81,1987-09-30,11,3,0,3.4,0.65,3.53,0.54,3.0,0.38,0.6,2.0,0.79
Chris Weidman,1.88,205.0,1.98,35.34,1984-06-17,13,5,0,5.81,0.77,5.23,0.75,8.72,0.25,,0.0,0.72
Chris Wilson,1.85,170.0,1.9,32.28,1977-06-07,16,7,0,2.2,0.42,7.67,0.71,1.22,0.5,0.33,1.22,0.7
Chris de la Rocha,1.91,250.0,2.03,39.59,1979-05-15,5,2,0,4.19,0.57,11.03,0.67,1.37,0.5,1.0,0.0,0.71
Christian Colombo,1.96,265.0,2.03,37.33,1980-07-01,8,3,0,1.88,0.4,22.07,0.67,0.0,,1.0,0.0,0.73
Christian Morecraft,1.98,260.0,2.06,25.37,1986-09-08,7,2,0,1.38,0.24,3.31,0.8,8.26,0.67,,4.13,0.78
Christian Wellisch,1.88,234.0,1.96,33.39,1975-09-13,8,4,0,4.47,0.34,4.07,0.5,0.0,0.0,0.82,0.0,0.67
Christophe Leninger,1.83,200.0,1.83,7.84,1989-07-27,3,3,0,2.25,0.56,10.75,0.78,0.0,0.0,,1.88,0.5
Christos Giagos,1.78,155.0,1.8,29.56,1990-01-23,17,7,0,7.53,0.61,10.6,0.71,2.0,0.4,0.29,1.0,0.71
Chuck Liddell,1.88,205.0,1.93,40.49,1969-12-17,20,8,0,3.86,0.43,5.49,0.49,3.05,1.0,,0.0,0.71
Cindy Dandois,1.7,135.0,1.73,32.49,1984-10-26,8,2,0,6.67,0.47,6.67,0.47,5.0,0.56,0.56,0.0,0.8
Ciryl Gane,1.93,245.0,2.06,29.69,1990-04-12,5,0,0,4.33,0.41,2.13,0.31,0.0,0.0,,0.0,1.0
Claude Patrick,1.8,170.0,1.9,31.49,1980-06-14,13,2,0,4.33,0.77,4.33,0.77,0.0,0.0,0.0,3.0,0.87
Claudia Gadelha,1.63,115.0,1.6,30.58,1988-12-07,16,4,0,2.73,0.38,1.73,0.24,0.0,0.0,,0.0,0.8
Claudio Puelles,1.8,155.0,1.83,23.42,1996-04-21,10,1,0,6.73,0.87,0.33,0.42,4.0,0.67,,2.0,0.91
Claudio Silva,1.8,170.0,1.8,36.91,1982-09-06,13,1,0,12.4,0.84,0.78,0.33,5.81,1.0,,5.81,0.93
Clay Collard,1.8,145.0,1.85,22.49,1993-03-10,14,6,0,9.07,0.52,4.87,0.5,1.0,0.5,0.25,0.0,0.7
Clay Guida,1.7,155.0,1.78,37.65,1981-12-08,34,16,0,2.06,0.4,2.06,0.25,0.0,,,0.0,0.68
Clay Harvison,1.85,170.0,1.88,31.13,1980-09-25,9,2,0,3.82,0.29,3.82,0.3,0.0,,,0.0,0.82
Clifford Starks,1.83,185.0,1.96,31.99,1981-04-25,7,2,0,1.96,0.17,7.84,1.0,0.0,,0.0,0.0,0.78
Clint Hester,1.88,205.0,1.96,29.42,1986-11-21,10,6,0,0.22,0.17,18.34,0.82,0.0,,,0.0,0.62
Cody Donovan,1.91,205.0,1.88,33.41,1981-02-20,7,5,0,6.26,0.62,16.16,0.7,3.03,0.5,,6.06,0.58
Cody East,1.91,245.0,1.88,28.26,1988-06-29,12,2,0,5.69,0.59,15.5,0.73,6.4,1.0,0.83,0.0,0.86
Cody Garbrandt,1.73,135.0,1.65,27.65,1991-07-07,10,3,0,4.31,0.35,5.75,0.55,0.0,,0.0,0.0,0.77
Cody Gibson,1.78,135.0,1.8,27.45,1987-09-11,12,5,0,2.0,0.22,3.0,0.33,0.0,0.0,0.0,0.0,0.71
Cody McKenzie,1.83,155.0,1.83,26.0,1987-12-16,14,3,0,2.47,0.37,3.93,0.3,1.0,0.08,0.5,0.0,0.82
Cody Pfister,1.78,155.0,1.85,26.0,1990-07-12,12,5,1,3.67,0.44,8.0,0.68,1.0,0.11,1.0,0.0,0.67
Cody Stamann,1.68,135.0,1.63,30.08,1989-11-09,17,2,1,7.8,0.78,3.27,0.39,5.0,0.42,,0.0,0.85
Colby Covington,1.8,170.0,1.83,31.81,1988-02-22,14,2,0,5.92,0.36,7.24,0.49,0.0,,,0.0,0.88
Cole Escovedo,1.7,135.0,1.83,30.2,1981-08-30,17,7,0,1.87,0.44,1.87,0.44,2.0,0.5,0.5,0.0,0.71
Cole Miller,1.85,145.0,1.88,32.64,1984-04-26,20,11,0,1.47,0.36,11.0,0.68,0.0,,0.86,0.0,0.65
Cole Smith,1.8,135.0,1.7,30.44,1989-04-05,6,1,0,1.73,0.35,4.2,0.61,1.0,0.17,0.5,0.0,0.86
Cole Williams,1.83,170.0,1.85,35.63,1983-12-15,11,1,0,0.78,0.33,0.78,0.33,0.0,,,0.0,0.92
Colin Fletcher,1.88,155.0,1.98,30.19,1983-01-08,9,2,0,4.07,0.4,3.67,0.38,0.0,0.0,1.0,0.0,0.82
Colin Robinson,1.93,243.0,1.93,39.14,1968-11-27,9,9,0,3.57,0.33,3.57,0.33,0.0,,,0.0,0.5
Colton Smith,1.83,155.0,1.8,26.87,1987-08-14,6,3,0,3.17,0.67,11.11,0.7,0.0,,1.0,0.0,0.67
Conor McGregor,1.75,155.0,1.88,31.51,1988-07-14,21,4,0,29.85,0.74,0.0,0.0,0.0,,,0.0,0.84
Corey Anderson,1.91,205.0,2.01,30.4,1989-09-22,12,5,0,3.51,0.41,4.15,0.42,0.0,,,0.0,0.71
Corey Hill,1.93,155.0,2.03,30.19,1978-10-03,3,4,0,3.75,0.54,2.25,0.55,5.63,0.67,,0.0,0.43
Cortney Casey,1.7,115.0,1.7,31.79,1987-05-05,8,6,0,4.87,0.41,5.47,0.43,0.0,,0.0,0.0,0.57
Cory Sandhagen,1.8,135.0,1.78,27.32,1992-04-20,11,1,0,5.2,0.58,4.33,0.63,0.0,0.0,0.67,0.0,0.92
Cory Walmsley,1.83,205.0,1.83,18.25,1988-05-26,8,1,0,5.14,1.0,7.51,0.86,0.0,,1.0,0.0,0.89
Costas Philippou,1.8,185.0,1.85,35.46,1979-11-29,13,4,0,0.8,0.24,9.13,0.75,0.0,0.0,1.0,0.0,0.76
Court McGee,1.8,170.0,1.9,34.85,1984-12-12,19,9,0,8.53,0.41,9.87,0.62,0.0,0.0,0.67,0.0,0.68
Courtney Turner,1.88,170.0,1.88,8.61,1989-08-03,0,2,0,,,,,,,,,0.0
Crafton Wallace,1.83,185.0,1.83,30.92,1975-11-10,18,5,1,4.33,0.66,4.98,0.66,0.0,,0.67,0.0,0.75
Craig White,1.88,170.0,1.93,28.19,1990-07-01,14,8,0,4.27,0.68,5.47,0.66,0.0,,0.75,1.0,0.64
Cris Cyborg,1.73,145.0,1.73,34.05,1985-07-09,20,2,0,9.2,0.59,4.27,0.56,0.0,,0.0,0.0,0.91
Cristiano Marcello,1.75,155.0,1.83,36.2,1977-12-03,12,6,0,2.93,0.36,4.8,0.4,1.0,0.1,,1.0,0.67
Cristina Stanciu,1.6,115.0,1.63,22.29,1994-03-29,5,1,0,1.92,0.42,1.92,0.42,0.0,,,0.0,0.83
Cub Swanson,1.73,145.0,1.78,35.94,1983-11-02,26,10,0,9.53,0.48,7.27,0.48,0.0,,0.0,0.0,0.72
Cung Le,1.75,185.0,1.75,42.25,1972-05-25,9,2,0,2.38,0.35,5.77,0.34,0.0,,,0.0,0.82
Curt Warburton,1.83,155.0,1.85,22.89,1988-08-04,7,2,0,2.54,0.22,6.09,0.36,0.0,,,0.0,0.78
Curtis Blaydes,1.93,265.0,2.03,28.93,1991-02-18,13,1,0,4.75,0.47,1.15,0.23,0.0,0.0,,0.0,0.93
Curtis Millender,1.88,170.0,1.93,31.37,1987-12-01,16,5,0,3.33,0.51,3.33,0.51,0.0,,,0.0,0.76
Curtis Stout,1.85,185.0,1.85,30.62,1973-11-07,11,11,1,3.78,0.85,7.4,0.79,0.0,,0.5,0.0,0.48
Cynthia Calvillo,1.63,115.0,1.63,32.4,1987-07-13,7,1,1,7.47,0.65,4.07,0.42,3.0,0.75,,0.0,0.78
Cyril Asker,1.83,247.0,1.88,32.13,1985-12-24,9,3,0,1.3,0.27,16.96,0.75,0.0,,,0.0,0.75
Cyrille Diabate,1.98,205.0,2.06,40.42,1973-10-06,19,10,3,0.33,1.0,0.33,0.2,0.0,,1.0,0.0,0.59
Da-Un Jung,1.93,205.0,1.98,26.04,1993-12-07,12,2,0,4.67,0.5,3.74,0.5,0.0,,,0.0,0.86
DaMarques Johnson,1.85,170.0,1.9,30.26,1982-06-28,17,12,0,0.28,0.25,4.48,0.94,0.0,,1.0,0.0,0.59
